,Tavg,RH_avg,RR,ff_avg
642,29.3,62.0,0.0,2.0
643,29.4,62.0,11.408783783783784,2.0
644,29.5,62.0,11.408783783783784,2.0
645,29.8,66.0,11.408783783783784,2.0
646,28.8,76.0,33.3,1.0
647,28.8,76.0,11.408783783783784,1.0
648,28.9,74.0,11.408783783783784,2.0
649,29.7,70.0,11.408783783783784,1.0
650,29.3,70.0,0.0,2.0
651,29.3,71.0,11.408783783783784,2.0
652,29.5,68.0,11.408783783783784,2.0
653,29.2,70.0,0.0,2.0
654,29.3,76.0,6.5,1.0
655,28.5,74.0,2.0,1.0
656,29.6,74.0,11.408783783783784,2.0
657,29.5,66.0,0.0,2.0
658,30.0,62.0,0.0,3.0
659,30.5,59.0,11.408783783783784,2.0
660,30.5,64.0,11.408783783783784,2.0
661,29.9,66.0,0.0,2.0
662,30.2,68.0,11.408783783783784,1.0
663,29.6,67.0,0.0,2.0
664,28.7,74.0,0.0,1.0
665,29.3,72.0,3.3,2.0
666,29.1,72.0,0.0,2.0
667,29.0,68.0,11.408783783783784,1.0
668,29.7,68.0,0.0,2.0
669,28.1,76.0,11.408783783783784,1.0
670,27.0,80.0,11.408783783783784,2.0
671,27.7,78.0,76.0,1.0
672,29.1,74.0,0.2,2.0
673,29.3,70.0,11.408783783783784,1.0
674,28.8,70.0,6.2,2.0
675,28.5,72.0,1.5,1.0
676,28.8,65.0,0.0,2.0
677,29.7,67.0,11.408783783783784,1.0
678,29.3,72.0,11.408783783783784,1.0
679,29.7,73.0,0.0,2.0
680,28.8,77.0,11.408783783783784,1.0
681,28.8,76.0,8.5,2.0
682,27.7,78.0,11.408783783783784,2.0
